id                         row_id    birds
0     BLKFR-10-CPL_20190611_093000_5   whtswi
1     BLKFR-10-CPL_20190611_093000_10   bkpwar
2     BLKFR-10-CPL_20190611_093000_15   foxspa
3     BLKFR-10-CPL_20190611_093000_20   bkpwar
4     BLKFR-10-CPL_20190611_093000_25   louwat
5     BLKFR-10-CPL_20190611_093000_30   perfal
6     BLKFR-10-CPL_20190611_093000_35   pingro
7     BLKFR-10-CPL_20190611_093000_40  wilsni1
8     BLKFR-10-CPL_20190611_093000_45   pilwoo
9     BLKFR-10-CPL_20190611_093000_50   louwat
10    BLKFR-10-CPL_20190611_093000_55   pilwoo
11    BLKFR-10-CPL_20190611_093000_60   gryfly
12    BLKFR-10-CPL_20190611_093000_65   louwat
13    BLKFR-10-CPL_20190611_093000_70   pilwoo
14    BLKFR-10-CPL_20190611_093000_75   grhowl
15    BLKFR-10-CPL_20190611_093000_80   louwat
16    BLKFR-10-CPL_20190611_093000_85   bkpwar
17    BLKFR-10-CPL_20190611_093000_90   pingro
18    BLKFR-10-CPL_20190611_093000_95   norfli
19   BLKFR-10-CPL_20190611_093000_100   pingro
20   BLKFR-10-CPL_20190611_093000_105   evegro
21   BLKFR-10-CPL_20190611_093000_110   evegro
22   BLKFR-10-CPL_20190611_093000_115   easblu
23   BLKFR-10-CPL_20190611_093000_120   casfin
24   BLKFR-10-CPL_20190611_093000_125   pingro
25   BLKFR-10-CPL_20190611_093000_130  bkbmag1
26   BLKFR-10-CPL_20190611_093000_135   olsfly
27   BLKFR-10-CPL_20190611_093000_140   purfin
28   BLKFR-10-CPL_20190611_093000_145   pingro
29   BLKFR-10-CPL_20190611_093000_150   pingro
30   BLKFR-10-CPL_20190611_093000_155   grhowl
31   BLKFR-10-CPL_20190611_093000_160   grhowl
32   BLKFR-10-CPL_20190611_093000_165   greyel
33   BLKFR-10-CPL_20190611_093000_170   solsan
34   BLKFR-10-CPL_20190611_093000_175   haiwoo
35   BLKFR-10-CPL_20190611_093000_180   solsan
36   BLKFR-10-CPL_20190611_093000_185   grhowl
37   BLKFR-10-CPL_20190611_093000_190   perfal
38   BLKFR-10-CPL_20190611_093000_195  belkin1
39   BLKFR-10-CPL_20190611_093000_200   olsfly
40   BLKFR-10-CPL_20190611_093000_205   grhowl
41   BLKFR-10-CPL_20190611_093000_210  wilsni1
42   BLKFR-10-CPL_20190611_093000_215   whbnut
43   BLKFR-10-CPL_20190611_093000_220  wilsni1
44   BLKFR-10-CPL_20190611_093000_225   whbnut
45   BLKFR-10-CPL_20190611_093000_230   perfal
46   BLKFR-10-CPL_20190611_093000_235   pilwoo
47   BLKFR-10-CPL_20190611_093000_240   pilwoo
48   BLKFR-10-CPL_20190611_093000_245   perfal
49   BLKFR-10-CPL_20190611_093000_250   gockin
50   BLKFR-10-CPL_20190611_093000_255   gockin
51   BLKFR-10-CPL_20190611_093000_260   perfal
52   BLKFR-10-CPL_20190611_093000_265   gockin
53   BLKFR-10-CPL_20190611_093000_270   buffle
54   BLKFR-10-CPL_20190611_093000_275   perfal
55   BLKFR-10-CPL_20190611_093000_280   gockin
56   BLKFR-10-CPL_20190611_093000_285   louwat
